gamma,Ftotal11_mean,Tfull11_mean,Ftotal12_mean,Tfull12_mean,Ftotal21_mean,Tfull21_mean,Ftotal22_mean,Tfull22_mean
0.48,1.0007353832142856,0.999278717755102,0.4805518679081633,0.4790430338775511,-0.00031973508163265243,-0.0012566999999999995,1.0010793297959186,0.9902565203061224
0.49,1.0007235569387756,0.9992008897959184,0.49056485007142847,0.4889343551020408,-0.0003515382959183671,-0.0013781675510204107,1.0010715294897958,0.9902667976530614
0.5,1.0007473110204084,0.9990993234693878,0.5005977557142857,0.4992777704081632,-0.0003066645204081625,-0.0020229209795918387,1.0010505407142858,0.9905157831836734
0.51,1.0005641853061225,0.9992270010204082,0.5105874614285715,0.5090729408163265,-0.00011951224489795854,-0.0014486595918367382,1.0009743292857143,0.9907537584693878
0.52,1.0005128156122447,0.999225656122449,0.5205270215306123,0.5186730102040817,-0.0002582367755102041,-0.0006987394897959183,1.000965516020408,0.9907439959183673
0.53,1.0005477776214284,0.9992759428571428,0.5305277583061224,0.5289313224489796,-0.00022199255102040764,-0.0016622869387755116,1.0009291607142856,0.990088960612245
0.54,1.0005424003061225,0.9994721357142856,0.5405323598979592,0.5390092020408164,-0.00023315118367346952,-0.0018171828367346955,1.0009282201020406,0.9904404752040815
0.55,1.0005292726530615,0.9995235642857143,0.5505451560204081,0.5489355561224489,-0.00023977362061224373,-0.00175859769387755,1.0009337774489797,0.990494534489796
0.56,1.0005318785714283,0.9995590887755103,0.5605528520408163,0.5589502265306123,-0.00023413874489795948,-0.0014842075510204074,1.00093036122449,0.9909101275510205
0.57,1.0005291211224492,0.9994167255102041,0.5705660737755103,0.5687859030612245,-0.00024059211224489776,-0.001838504285714288,1.0009293435714284,0.9906246836734695
0.58,1.0005289154081631,0.9993791530612245,0.5805080467346938,0.5787474948979592,-0.00023337657142857108,-0.0019412091836734718,1.000740288367347,0.9907467578571428
0.59,1.0005171459183675,0.9993419316326532,0.5905133042857142,0.5886445551020408,-0.00025515915306122486,-0.0019791255102040834,1.0007357263265304,0.9907339376530613
